Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,0.633730,0.634960,0.633100,0.633500,0.633500,0
2019-04-02,0.634430,0.634700,0.630500,0.634420,0.634420,0
2019-04-03,0.629770,0.634330,0.629600,0.629930,0.629930,0
2019-04-04,0.632900,0.634220,0.632400,0.632800,0.632800,0
2019-04-05,0.633200,0.634820,0.632320,0.633470,0.633470,0
2019-04-08,0.632700,0.632850,0.631200,0.632700,0.632700,0
2019-04-09,0.632600,0.634420,0.631900,0.632610,0.632610,0
2019-04-10,0.632740,0.635540,0.631400,0.632530,0.632530,0
2019-04-11,0.635440,0.635520,0.632500,0.635400,0.635400,0
2019-04-12,0.632360,0.635310,0.630760,0.632440,0.632440,0
2019-04-15,0.634200,0.635000,0.633140,0.634300,0.634300,0
2019-04-16,0.634570,0.635300,0.631500,0.634300,0.634300,0
2019-04-17,0.634830,0.637130,0.633970,0.634800,0.634800,0
2019-04-18,0.634930,0.636780,0.634240,0.634970,0.634970,0
2019-04-19,0.635930,0.636400,0.635200,0.635970,0.635970,0
2019-04-22,0.635570,0.635900,0.633200,0.635630,0.635630,0
2019-04-23,0.633290,0.633840,0.631630,0.633640,0.633640,0
2019-04-24,0.632230,0.632570,0.626600,0.632200,0.632200,0
2019-04-25,0.628600,0.629570,0.627890,0.628780,0.628780,0
2019-04-26,0.630010,0.632430,0.629700,0.630080,0.630080,0
2019-04-29,0.631670,0.632530,0.631100,0.631600,0.631600,0
2019-04-30,0.630720,0.631410,0.626800,0.630680,0.630680,0
2019-05-01,0.628420,0.628950,0.625600,0.628440,0.628440,0
2019-05-02,0.625900,0.627250,0.625220,0.626180,0.626180,0
2019-05-03,0.625890,0.628020,0.625290,0.625990,0.625990,0
2019-05-06,0.623200,0.625470,0.622520,0.623340,0.623340,0
2019-05-07,0.624190,0.628630,0.623800,0.624170,0.624170,0
2019-05-08,0.626280,0.626990,0.624500,0.626230,0.626230,0
2019-05-09,0.624400,0.624500,0.620270,0.624410,0.624410,0
2019-05-10,0.622800,0.624700,0.621800,0.622740,0.622740,0
2019-05-13,0.621410,0.621870,0.618120,0.621580,0.621580,0
2019-05-14,0.618320,0.620000,0.617300,0.618290,0.618290,0
2019-05-15,0.618900,0.619130,0.617200,0.619130,0.619130,0
2019-05-16,0.617930,0.618180,0.615700,0.618020,0.618020,0
2019-05-17,0.616800,0.617000,0.615200,0.616750,0.616750,0
2019-05-20,0.618030,0.621100,0.618030,0.618130,0.618130,0
2019-05-21,0.619720,0.619970,0.615290,0.619590,0.619590,0
2019-05-22,0.616300,0.617320,0.615600,0.616440,0.616440,0
2019-05-23,0.616580,0.618100,0.615700,0.616450,0.616450,0
2019-05-24,0.616780,0.617890,0.615300,0.616700,0.616700,0
2019-05-27,0.618330,0.618960,0.617500,0.618320,0.618320,0
2019-05-28,0.618160,0.620210,0.617990,0.618010,0.618010,0
2019-05-29,0.620000,0.621480,0.619570,0.619900,0.619900,0
2019-05-30,0.621260,0.622950,0.620170,0.621100,0.621100,0
2019-05-31,0.620340,0.622130,0.619310,0.620200,0.620200,0
2019-06-03,0.620040,0.622250,0.619980,0.620100,0.620100,0
2019-06-04,0.619770,0.621950,0.618800,0.619700,0.619700,0
2019-06-05,0.620960,0.621720,0.619160,0.621180,0.621180,0
2019-06-06,0.620820,0.621290,0.618110,0.620720,0.620720,0
2019-06-07,0.618470,0.619310,0.617820,0.618500,0.618500,0
2019-06-10,0.618020,0.618020,0.615500,0.617950,0.617950,0
2019-06-11,0.615090,0.615590,0.613900,0.614980,0.614980,0
2019-06-12,0.614350,0.614350,0.612440,0.614400,0.614400,0
2019-06-13,0.613580,0.614000,0.611100,0.613580,0.613580,0
2019-06-14,0.612500,0.613130,0.610980,0.612500,0.612500,0
2019-06-17,0.613130,0.613430,0.610100,0.613190,0.613190,0
2019-06-18,0.610400,0.614270,0.607900,0.610400,0.610400,0
2019-06-19,0.614560,0.614710,0.611700,0.614200,0.614200,0
2019-06-20,0.612700,0.613520,0.611300,0.612500,0.612500,0
2019-06-21,0.612700,0.613900,0.609800,0.612770,0.612770,0
2019-06-24,0.610160,0.611530,0.609600,0.609900,0.609900,0
2019-06-25,0.611130,0.612700,0.609600,0.610950,0.610950,0
